scenario,is_conflict,number_of_conflicts,places_of_conflicts,conflict_vehicles,decisions,priority_order,waiting_times
"{""vehicles_scenario"": [{""vehicle_id"": ""V8560"", ""lane"": ""3"", ""speed"": 42.55102454706898, ""distance_to_intersection"": 170.77617909151166, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V6140"", ""lane"": ""5"", ""speed"": 31.47193159814385, ""distance_to_intersection"": 311.91162058291013, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V6561"", ""lane"": ""4"", ""speed"": 60.398353900663324, ""distance_to_intersection"": 398.16024447164244, ""direction"": ""east"", ""destination"": ""E""}, {""vehicle_id"": ""V7208"", ""lane"": ""2"", ""speed"": 68.51510071882879, ""distance_to_intersection"": 475.1113037638455, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V1428"", ""lane"": ""1"", ""speed"": 41.523617269125424, ""distance_to_intersection"": 131.66899395212866, ""direction"": ""north"", ""destination"": ""F""}]}",yes,2,"['intersection', 'intersection']","[{'vehicle1_id': 'V8560', 'vehicle2_id': 'V1428'}, {'vehicle1_id': 'V6561', 'vehicle2_id': 'V7208'}]","['Potential conflict: Vehicle V8560 must yield to Vehicle V1428', 'Potential conflict: Vehicle V7208 must yield to Vehicle V6561']","{'V1428': 1, 'V8560': 2, 'V6561': 3, 'V7208': 4, 'V6140': None}","{'V1428': 0, 'V8560': 0, 'V6561': 0, 'V7208': 1, 'V6140': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V3007"", ""lane"": ""3"", ""speed"": 56.11368852394215, ""distance_to_intersection"": 167.88306172200237, ""direction"": ""east"", ""destination"": ""H""}, {""vehicle_id"": ""V3222"", ""lane"": ""5"", ""speed"": 68.14980345948548, ""distance_to_intersection"": 475.8007325939483, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V8868"", ""lane"": ""1"", ""speed"": 52.440904750447395, ""distance_to_intersection"": 330.9395235425013, ""direction"": ""north"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V3007': None, 'V3222': None, 'V8868': None}","{'V3007': 0, 'V3222': 0, 'V8868': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V3839"", ""lane"": ""6"", ""speed"": 23.746187379987585, ""distance_to_intersection"": 364.4660210922235, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V9684"", ""lane"": ""7"", ""speed"": 32.898901997855035, ""distance_to_intersection"": 248.74933278564978, ""direction"": ""west"", ""destination"": ""F""}, {""vehicle_id"": ""V3563"", ""lane"": ""1"", ""speed"": 31.541642307577206, ""distance_to_intersection"": 273.4379495402802, ""direction"": ""north"", ""destination"": ""H""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V9684', 'vehicle2_id': 'V3563'}]",['Potential conflict: Vehicle V3563 must yield to Vehicle V9684'],"{'V9684': 1, 'V3563': 2, 'V3839': None}","{'V9684': 0, 'V3563': 0, 'V3839': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V7361"", ""lane"": ""8"", ""speed"": 34.34042149065281, ""distance_to_intersection"": 143.37237229930423, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V3013"", ""lane"": ""2"", ""speed"": 69.05211433837229, ""distance_to_intersection"": 294.0281567937318, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V7207"", ""lane"": ""6"", ""speed"": 33.717918823879884, ""distance_to_intersection"": 195.78356287579024, ""direction"": ""south"", ""destination"": ""H""}, {""vehicle_id"": ""V1681"", ""lane"": ""6"", ""speed"": 44.640271743157356, ""distance_to_intersection"": 114.62274514466591, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V7765"", ""lane"": ""2"", ""speed"": 32.03910430656037, ""distance_to_intersection"": 81.37547149750336, ""direction"": ""north"", ""destination"": ""D""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V7361', 'vehicle2_id': 'V3013'}]",['Potential conflict: Vehicle V7361 must yield to Vehicle V3013'],"{'V7361': 1, 'V3013': 2, 'V7207': None, 'V1681': None, 'V7765': None}","{'V7361': 0, 'V3013': 2, 'V7207': 0, 'V1681': 0, 'V7765': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V8573"", ""lane"": ""1"", ""speed"": 71.39806532087158, ""distance_to_intersection"": 464.1863331993112, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V1973"", ""lane"": ""3"", ""speed"": 43.57427974534923, ""distance_to_intersection"": 474.67507518187756, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V6700"", ""lane"": ""5"", ""speed"": 37.41731841126363, ""distance_to_intersection"": 196.63324231109686, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V3332"", ""lane"": ""4"", ""speed"": 25.06996982588649, ""distance_to_intersection"": 135.71212046329416, ""direction"": ""east"", ""destination"": ""F""}, {""vehicle_id"": ""V4115"", ""lane"": ""7"", ""speed"": 56.7446411877979, ""distance_to_intersection"": 138.6098145808759, ""direction"": ""west"", ""destination"": ""F""}]}",yes,2,"['intersection', 'intersection']","[{'vehicle1_id': 'V8573', 'vehicle2_id': 'V3332'}, {'vehicle1_id': 'V6700', 'vehicle2_id': 'V3332'}]","['Potential conflict: Vehicle V8573 must yield to Vehicle V3332', 'Potential conflict: Vehicle V3332 must yield to Vehicle V6700']","{'V6700': 1, 'V3332': 2, 'V8573': 3, 'V1973': None, 'V4115': None}","{'V6700': 0, 'V3332': 2, 'V8573': 0, 'V1973': 0, 'V4115': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V1444"", ""lane"": ""8"", ""speed"": 77.84316668461238, ""distance_to_intersection"": 263.12073559870305, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V3944"", ""lane"": ""6"", ""speed"": 56.62868413259494, ""distance_to_intersection"": 208.4988362329186, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V4513"", ""lane"": ""8"", ""speed"": 46.8802000875979, ""distance_to_intersection"": 484.18440303413735, ""direction"": ""west"", ""destination"": ""C""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V1444', 'vehicle2_id': 'V3944'}]",['Potential conflict: Vehicle V3944 must yield to Vehicle V1444'],"{'V1444': 1, 'V3944': 2, 'V4513': None}","{'V1444': 0, 'V3944': 1, 'V4513': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V9268"", ""lane"": ""7"", ""speed"": 28.076196912730737, ""distance_to_intersection"": 368.71890643831745, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V6328"", ""lane"": ""6"", ""speed"": 59.39702406361248, ""distance_to_intersection"": 421.4456039157859, ""direction"": ""south"", ""destination"": ""A""}]}",no,0,[],[],[],"{'V9268': None, 'V6328': None}","{'V9268': 0, 'V6328': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V5736"", ""lane"": ""8"", ""speed"": 41.46436081942181, ""distance_to_intersection"": 392.4282800394031, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V8897"", ""lane"": ""4"", ""speed"": 63.63089746620835, ""distance_to_intersection"": 326.3303872985271, ""direction"": ""east"", ""destination"": ""G""}, {""vehicle_id"": ""V6993"", ""lane"": ""8"", ""speed"": 67.5919887081233, ""distance_to_intersection"": 335.87963582310977, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V2051"", ""lane"": ""2"", ""speed"": 23.74153771263151, ""distance_to_intersection"": 330.2388680912551, ""direction"": ""north"", ""destination"": ""D""}]}",no,0,[],[],[],"{'V5736': None, 'V8897': None, 'V6993': None, 'V2051': None}","{'V5736': 0, 'V8897': 0, 'V6993': 0, 'V2051': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V2768"", ""lane"": ""2"", ""speed"": 72.08588964031567, ""distance_to_intersection"": 492.3413948752975, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V7440"", ""lane"": ""5"", ""speed"": 67.74877405068577, ""distance_to_intersection"": 170.8931773384861, ""direction"": ""south"", ""destination"": ""D""}, {""vehicle_id"": ""V2588"", ""lane"": ""8"", ""speed"": 34.920580960510264, ""distance_to_intersection"": 239.26140737721425, ""direction"": ""west"", ""destination"": ""C""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V2768', 'vehicle2_id': 'V2588'}]",['Potential conflict: Vehicle V2588 must yield to Vehicle V2768'],"{'V2768': 1, 'V2588': 2, 'V7440': None}","{'V2768': 0, 'V2588': 2, 'V7440': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V5014"", ""lane"": ""2"", ""speed"": 56.87101683369014, ""distance_to_intersection"": 368.6274896421537, ""direction"": ""north"", ""destination"": ""C""}, {""vehicle_id"": ""V9176"", ""lane"": ""1"", ""speed"": 34.918179433823624, ""distance_to_intersection"": 448.2452915745284, ""direction"": ""north"", ""destination"": ""F""}, {""vehicle_id"": ""V2528"", ""lane"": ""4"", ""speed"": 37.894255030843844, ""distance_to_intersection"": 428.41639606252545, ""direction"": ""east"", ""destination"": ""G""}, {""vehicle_id"": ""V2893"", ""lane"": ""8"", ""speed"": 39.83573328287378, ""distance_to_intersection"": 261.0755603744231, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V9573"", ""lane"": ""2"", ""speed"": 40.58148425006834, ""distance_to_intersection"": 375.63490666234003, ""direction"": ""north"", ""destination"": ""C""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V5014', 'vehicle2_id': 'V2893'}]",['Potential conflict: Vehicle V2893 must yield to Vehicle V5014'],"{'V5014': 1, 'V2893': 2, 'V9176': None, 'V2528': None, 'V9573': None}","{'V5014': 0, 'V2893': 2, 'V9176': 0, 'V2528': 0, 'V9573': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6107"", ""lane"": ""6"", ""speed"": 78.48392536065663, ""distance_to_intersection"": 259.6954157103527, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V1434"", ""lane"": ""3"", ""speed"": 24.276183446562214, ""distance_to_intersection"": 419.22866248115696, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V3336"", ""lane"": ""8"", ""speed"": 68.78279400025126, ""distance_to_intersection"": 252.58846556696423, ""direction"": ""west"", ""destination"": ""C""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V6107', 'vehicle2_id': 'V3336'}]",['Potential conflict: Vehicle V3336 must yield to Vehicle V6107'],"{'V6107': 1, 'V3336': 2, 'V1434': None}","{'V6107': 0, 'V3336': 1, 'V1434': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6088"", ""lane"": ""3"", ""speed"": 43.99375250659054, ""distance_to_intersection"": 404.66907192370604, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V3364"", ""lane"": ""6"", ""speed"": 30.686463295953363, ""distance_to_intersection"": 339.9684871993803, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V4695"", ""lane"": ""2"", ""speed"": 40.02530380605151, ""distance_to_intersection"": 490.5256959675246, ""direction"": ""north"", ""destination"": ""D""}]}",no,0,[],[],[],"{'V6088': None, 'V3364': None, 'V4695': None}","{'V6088': 0, 'V3364': 0, 'V4695': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V2740"", ""lane"": ""1"", ""speed"": 31.817350354838453, ""distance_to_intersection"": 420.29740017732126, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V7589"", ""lane"": ""6"", ""speed"": 29.719484318480497, ""distance_to_intersection"": 197.76654272927135, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V8070"", ""lane"": ""1"", ""speed"": 76.20439588094149, ""distance_to_intersection"": 281.04914281297215, ""direction"": ""north"", ""destination"": ""F""}]}",no,0,[],[],[],"{'V2740': None, 'V7589': None, 'V8070': None}","{'V2740': 0, 'V7589': 0, 'V8070': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V5974"", ""lane"": ""5"", ""speed"": 27.161010493486238, ""distance_to_intersection"": 105.90771458096525, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V2915"", ""lane"": ""7"", ""speed"": 58.41166042968803, ""distance_to_intersection"": 449.07928000015164, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V1092"", ""lane"": ""6"", ""speed"": 44.6563693018956, ""distance_to_intersection"": 237.97675687206856, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V7102"", ""lane"": ""6"", ""speed"": 26.938345378234942, ""distance_to_intersection"": 243.31926258230868, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V5794"", ""lane"": ""5"", ""speed"": 79.97312987907156, ""distance_to_intersection"": 434.93074190970356, ""direction"": ""south"", ""destination"": ""B""}]}",no,0,[],[],[],"{'V5974': None, 'V2915': None, 'V1092': None, 'V7102': None, 'V5794': None}","{'V5974': 0, 'V2915': 0, 'V1092': 0, 'V7102': 0, 'V5794': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V1717"", ""lane"": ""6"", ""speed"": 40.400134865539, ""distance_to_intersection"": 77.38344662347923, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V1384"", ""lane"": ""6"", ""speed"": 63.18737665548183, ""distance_to_intersection"": 79.9142152928876, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V4183"", ""lane"": ""2"", ""speed"": 54.74492189003319, ""distance_to_intersection"": 277.9842490895609, ""direction"": ""north"", ""destination"": ""E""}, {""vehicle_id"": ""V8336"", ""lane"": ""8"", ""speed"": 27.974925556797405, ""distance_to_intersection"": 98.31459903785873, ""direction"": ""west"", ""destination"": ""B""}, {""vehicle_id"": ""V6663"", ""lane"": ""2"", ""speed"": 20.107591527275662, ""distance_to_intersection"": 118.4123644459623, ""direction"": ""north"", ""destination"": ""C""}]}",no,0,[],[],[],"{'V1717': None, 'V1384': None, 'V4183': None, 'V8336': None, 'V6663': None}","{'V1717': 0, 'V1384': 0, 'V4183': 0, 'V8336': 0, 'V6663': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6813"", ""lane"": ""1"", ""speed"": 50.74589612088372, ""distance_to_intersection"": 443.50720047430184, ""direction"": ""north"", ""destination"": ""H""}, {""vehicle_id"": ""V7726"", ""lane"": ""7"", ""speed"": 46.86320696821289, ""distance_to_intersection"": 98.64860880375602, ""direction"": ""west"", ""destination"": ""D""}, {""vehicle_id"": ""V8716"", ""lane"": ""3"", ""speed"": 21.85133135250288, ""distance_to_intersection"": 484.6659932395532, ""direction"": ""east"", ""destination"": ""B""}, {""vehicle_id"": ""V9365"", ""lane"": ""6"", ""speed"": 56.48631196838161, ""distance_to_intersection"": 307.9279317500987, ""direction"": ""south"", ""destination"": ""G""}, {""vehicle_id"": ""V9054"", ""lane"": ""1"", ""speed"": 78.8917747769605, ""distance_to_intersection"": 83.78211966971602, ""direction"": ""north"", ""destination"": ""H""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V7726', 'vehicle2_id': 'V9054'}]",['Potential conflict: Vehicle V7726 must yield to Vehicle V9054'],"{'V9054': 1, 'V7726': 2, 'V6813': None, 'V8716': None, 'V9365': None}","{'V9054': 0, 'V7726': 0, 'V6813': 0, 'V8716': 0, 'V9365': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6902"", ""lane"": ""8"", ""speed"": 58.95341062125373, ""distance_to_intersection"": 348.6284322226521, ""direction"": ""west"", ""destination"": ""C""}, {""vehicle_id"": ""V9974"", ""lane"": ""4"", ""speed"": 55.21276389123419, ""distance_to_intersection"": 224.07076395841082, ""direction"": ""east"", ""destination"": ""E""}]}",no,0,[],[],[],"{'V6902': None, 'V9974': None}","{'V6902': 0, 'V9974': 0}"
"{""vehicles_scenario"": [{""vehicle_id"": ""V6347"", ""lane"": ""6"", ""speed"": 75.4500170086476, ""distance_to_intersection"": 417.9097953868803, ""direction"": ""south"", ""destination"": ""A""}, {""vehicle_id"": ""V5800"", ""lane"": ""5"", ""speed"": 32.09550029501152, ""distance_to_intersection"": 396.67605368292584, ""direction"": ""south"", ""destination"": ""B""}, {""vehicle_id"": ""V6113"", ""lane"": ""4"", ""speed"": 52.53629412234172, ""distance_to_intersection"": 169.99582945898186, ""direction"": ""east"", ""destination"": ""F""}, {""vehicle_id"": ""V8809"", ""lane"": ""1"", ""speed"": 65.35213400352364, ""distance_to_intersection"": 308.275093248977, ""direction"": ""north"", ""destination"": ""F""}]}",yes,1,['intersection'],"[{'vehicle1_id': 'V6347', 'vehicle2_id': 'V8809'}]",['Potential conflict: Vehicle V6347 must yield to Vehicle V8809'],"{'V8809': 1, 'V6347': 2, 'V5800': None, 'V6113': None}","{'V8809': 0, 'V6347': 0, 'V5800': 0, 'V6113': 0}"
